title,description,date,edition,format,filesize (bytes),jpg_linkage,custodian,copyright,contributor,topicCategory,keywords,geographicDescription,spatialResolution,mapCentreLongitude,mapCentreLatitude,boundingBoxEastLongitude,boundingBoxNorthLatitude,boundingBoxSouthLatitude,boundingBoxWestLongitude
8064-32 Redlynch,Topographic map of 1:25000 8064-32 Redlynch displaying graphic representations of features including relief hydrography vegetation and cultural,2004,Edition 2,Digital format: image---jpeg Original format: copy print : colour,24276992,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8064-32-redlynch-ed-2-2004.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.687500,-16.937500,145.750000,-16.875000,-17.000000,145.625000
8259-13 Magnetic,Topographic map of 1:25000 8259-13 Magnetic displaying graphic representations of features including relief hydrography vegetation and cultural,1988,Edition 1,Digital format: image---jpeg Original format: copy print : colour,67404800,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8259-13-magnetic-ed-1-1988.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,146.812500,-19.187500,146.875000,-19.125000,-19.250000,146.750000
8259-31 Mount Louisa,Topographic map of 1:25000 8259-31 Mount Louisa displaying graphic representations of features including relief hydrography vegetation and cultural,1987,Edition 1,Digital format: image---jpeg Original format: copy print : colour,62545920,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8259-31-mount-louisa-ed-1-1987.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,146.687500,-19.312500,146.750000,-19.250000,-19.375000,146.625000
8259-43 Bluewater,Topographic map of 1:25000 8259-43 Bluewater displaying graphic representations of features including relief hydrography vegetation and cultural,1992,Edition 1,Digital format: image---jpeg Original format: copy print : colour,10381312,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8259-43-bluewater-ed-1-1992.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,146.562500,-19.187500,146.625000,-19.125000,-19.250000,146.500000
8356-11 Desmond Creek,Topographic map of 1:25000 8356-11 Desmond Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,12426240,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-11-desmond-creek-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.562500,147.500000,-20.500000,-20.625000,147.375000
8356-12 Mount Constance,Topographic map of 1:25000 8356-12 Mount Constance displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,14304256,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-12-mount-constance-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.687500,147.500000,-20.625000,-20.750000,147.375000
8356-13 Gap Creek,Topographic map of 1:25000 8356-13 Gap Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,13977600,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-13-gap-creek-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.687500,147.375000,-20.625000,-20.750000,147.250000
8356-14 Charlie Creek,Topographic map of 1:25000 8356-14 Charlie Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,14856192,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-14-charlie-creek-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.562500,147.375000,-20.500000,-20.625000,147.250000
8356-21 Mount Ely,Topographic map of 1:25000 8356-21 Mount Ely displaying graphic representations of features including relief hydrography vegetation and cultural,1980,Edition 1,Digital format: image---jpeg Original format: copy print : colour,11528192,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-21-mount-ely-ed-1-1980.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.812500,147.500000,-20.750000,-20.875000,147.375000
8356-22 Whitestone Peak,Topographic map of 1:25000 8356-22 Whitestone Peak displaying graphic representations of features including relief hydrography vegetation and cultural,1980,Edition 1,Digital format: image---jpeg Original format: copy print : colour,10060800,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-22-whitestone-peak-ed-1-1980.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.937500,147.500000,-20.875000,-21.000000,147.375000
8356-23 Mount Wyatt,Topographic map of 1:25000 8356-23 Mount Wyatt displaying graphic representations of features including relief hydrography vegetation and cultural,1980,Edition 1,Digital format: image---jpeg Original format: copy print : colour,10456064,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-23-mount-wyatt-ed-1-1980.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.937500,147.375000,-20.875000,-21.000000,147.250000
8356-24 Earlscliffe,Topographic map of 1:25000 8356-24 Earlscliffe displaying graphic representations of features including relief hydrography vegetation and cultural,1980,Edition 1,Digital format: image---jpeg Original format: copy print : colour,14486528,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-24-earlscliffe-ed-1-1980.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.812500,147.375000,-20.750000,-20.875000,147.250000
8356-31 Bell Creek,Topographic map of 1:25000 8356-31 Bell Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,14183424,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-31-bell-creek-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.812500,147.250000,-20.750000,-20.875000,147.125000
8356-32 Percy Douglas,Topographic map of 1:25000 8356-32 Percy Douglas displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,11420672,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-32-percy-douglas-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.937500,147.250000,-20.875000,-21.000000,147.125000
8356-33 Pyramid Range,Topographic map of 1:25000 8356-33 Pyramid Range displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,10222592,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-33-pyramid-range-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.937500,147.125000,-20.875000,-21.000000,147.000000
8356-34 Ant Hill Creek,Topographic map of 1:25000 8356-34 Ant Hill Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1979,Edition 1,Digital format: image---jpeg Original format: copy print : colour,10976256,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-34-ant-hill-creek-ed-1-1979.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.812500,147.125000,-20.750000,-20.875000,147.000000
8356-41 Pebble Creek,Topographic map of 1:25000 8356-41 Pebble Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1978,Edition 1,Digital format: image---jpeg Original format: copy print : colour,13355008,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-41-pebble-creek-ed-1-1978.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.562500,147.250000,-20.500000,-20.625000,147.125000
8356-42 Glendon,Topographic map of 1:25000 8356-42 Glendon displaying graphic representations of features including relief hydrography vegetation and cultural,1978,Edition 1,Digital format: image---jpeg Original format: copy print : colour,13232128,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-42-glendon-ed-1-1978.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.687500,147.250000,-20.625000,-20.750000,147.125000
8356-43 Mount McConnel,Topographic map of 1:25000 8356-43 Mount McConnel displaying graphic representations of features including relief hydrography vegetation and cultural,1978,Edition 1,Digital format: image---jpeg Original format: copy print : colour,11163648,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-43-mount-mcconnel-ed-1-1978.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.687500,147.125000,-20.625000,-20.750000,147.000000
8356-44 Mount Graham,Topographic map of 1:25000 8356-44 Mount Graham displaying graphic representations of features including relief hydrography vegetation and cultural,1978,Edition 1,Digital format: image---jpeg Original format: copy print : colour,12378112,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8356-44-mount-graham-ed-1-1978.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.562500,147.125000,-20.500000,-20.625000,147.000000
8357-11 Scott Creek,Topographic map of 1:25000 8357-11 Scott Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,8980480,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-11-scott-creek-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.062500,147.500000,-20.000000,-20.125000,147.375000
8357-12 Bogie Range,Topographic map of 1:25000 8357-12 Bogie Range displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,9755648,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-12-bogie-range-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.187500,147.500000,-20.125000,-20.250000,147.375000
8357-13 Strathalbyn,Topographic map of 1:25000 8357-13 Strathalbyn displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,8571904,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-13-strathalbyn-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.187500,147.375000,-20.125000,-20.250000,147.250000
8357-14 Millaroo,Topographic map of 1:25000 8357-14 Millaroo displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,9323520,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-14-millaroo-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.062500,147.375000,-20.000000,-20.125000,147.250000
8357-21 Mount Pollux,Topographic map of 1:25000 8357-21 Mount Pollux displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,10385408,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-21-mount-pollux-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.312500,147.500000,-20.250000,-20.375000,147.375000
8357-22 Mount Johnnycake,Topographic map of 1:25000 8357-22 Mount Johnnycake displaying graphic representations of features including relief hydrography vegetation and cultural,1977,Edition 1,Digital format: image---jpeg Original format: copy print : colour,11929600,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-22-mount-johnnycake-ed-1-1977.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-20.437500,147.500000,-20.375000,-20.500000,147.375000
8357-23 Latham,Topographic map of 1:25000 8357-23 Latham displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,13549568,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-23-latham-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.437500,147.375000,-20.375000,-20.500000,147.250000
8357-24 Dalbeg,Topographic map of 1:25000 8357-24 Dalbeg displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,11587584,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-24-dalbeg-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.312500,-20.312500,147.375000,-20.250000,-20.375000,147.250000
8357-31 Dozer Creek,Topographic map of 1:25000 8357-31 Dozer Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,13473792,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-31-dozer-creek-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.312500,147.250000,-20.250000,-20.375000,147.125000
8357-32 Morer,Topographic map of 1:25000 8357-32 Morer displaying graphic representations of features including relief hydrography vegetation and cultural,1977,Edition 1,Digital format: image---jpeg Original format: copy print : colour,13642752,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-32-morer-ed-1-1977.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.437500,147.250000,-20.375000,-20.500000,147.125000
8357-33 Mount Glenroy,Topographic map of 1:25000 8357-33 Mount Glenroy displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,16041984,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-33-mount-glenroy-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.437500,147.125000,-20.375000,-20.500000,147.000000
8357-34 Carse Creek,Topographic map of 1:25000 8357-34 Carse Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,12020736,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-34-carse-creek-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.312500,147.125000,-20.250000,-20.375000,147.000000
8357-41 McGregors Bonnet,Topographic map of 1:25000 8357-41 McGregors Bonnet displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,9211904,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-41-mcgregors-bonnet-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.062500,147.250000,-20.000000,-20.125000,147.125000
8357-42 Bluewater Creek,Topographic map of 1:25000 8357-42 Bluewater Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,12561408,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-42-bluewater-creek-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.187500,-20.187500,147.250000,-20.125000,-20.250000,147.125000
8357-43 Expedition Pass,Topographic map of 1:25000 8357-43 Expedition Pass displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,14445568,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-43-expedition-pass-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.187500,147.125000,-20.125000,-20.250000,147.000000
8357-44 Landers,Topographic map of 1:25000 8357-44 Landers displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,14725120,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8357-44-landers-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.062500,-20.062500,147.125000,-20.000000,-20.125000,147.000000
8358-11 Ayr,Topographic map of 1:25000 8358-11 Ayr displaying graphic representations of features including relief hydrography vegetation and cultural,1976,Edition 1,Digital format: image---jpeg Original format: copy print : colour,22336512,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8358-11-ayr-ed-1-1976.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,147.437500,-19.562500,147.500000,-19.500000,-19.625000,147.375000
